,County[18],Clinton percentage,Clinton Votes,Trump percentage,Trump Votes,Johnson percentage,Johnson Votes,Write-in percentage,Write-in Votes,Stein percentage,Stein Votes,Totals
1,Alamance, 0.4192 ," 29,818.0000 ", 0.5455 ," 38,802.0000 ", 0.0252 ," 1,795.0000 ", 0.0070 , 496.0000 , 0.0030 , 216.0000 ," 71,127.00 "
3,Alexander, 0.2064 ," 3,756.0000 ", 0.7601 ," 13,833.0000 ", 0.0239 , 435.0000 , 0.0083 , 151.0000 , 0.0013 , 23.0000 ," 18,198.00 "
5,Alleghany, 0.2457 ," 1,306.0000 ", 0.7176 ," 3,814.0000 ", 0.0243 , 129.0000 , 0.0124 , 66.0000 , -   , -   ," 5,315.00 "
7,Anson, 0.5556 ," 5,859.0000 ", 0.4273 ," 4,506.0000 ", 0.0122 , 129.0000 , 0.0046 , 48.0000 , 0.0003 , 3.0000 ," 10,545.00 "
9,Ashe, 0.2607 ," 3,500.0000 ", 0.7012 ," 9,413.0000 ", 0.0247 , 332.0000 , 0.0134 , 180.0000 , -   , -   ," 13,425.00 "
11,Avery, 0.2048 ," 1,689.0000 ", 0.7635 ," 6,298.0000 ", 0.0201 , 166.0000 , 0.0088 , 73.0000 , 0.0028 , 23.0000 ," 8,249.00 "
13,Beaufort, 0.3661 ," 8,764.0000 ", 0.6075 ," 14,543.0000 ", 0.0178 , 426.0000 , 0.0075 , 180.0000 , 0.0010 , 25.0000 ," 23,936.00 "
15,Bertie, 0.6182 ," 5,778.0000 ", 0.3697 ," 3,456.0000 ", 0.0075 , 70.0000 , 0.0043 , 40.0000 , 0.0003 , 3.0000 ," 9,347.00 "
17,Bladen, 0.4438 ," 7,021.0000 ", 0.5380 ," 8,511.0000 ", 0.0133 , 211.0000 , 0.0048 , 76.0000 , -   , -   ," 15,819.00 "
19,Brunswick, 0.3406 ," 23,282.0000 ", 0.6250 ," 42,717.0000 ", 0.0251 ," 1,717.0000 ", 0.0078 , 536.0000 , 0.0014 , 96.0000 ," 68,348.00 "
21,Buncombe, 0.5430 ," 75,421.0000 ", 0.4010 ," 55,694.0000 ", 0.0308 ," 4,284.0000 ", 0.0141 ," 1,958.0000 ", 0.0110 ," 1,534.0000 "," 138,891.00 "
23,Burke, 0.2891 ," 11,251.0000 ", 0.6742 ," 26,238.0000 ", 0.0254 , 988.0000 , 0.0083 , 324.0000 , 0.0031 , 119.0000 ," 38,920.00 "
25,Cabarrus, 0.3808 ," 35,510.0000 ", 0.5769 ," 53,789.0000 ", 0.0299 ," 2,784.0000 ", 0.0104 , 972.0000 , 0.0020 , 190.0000 ," 93,245.00 "
27,Caldwell, 0.2320 ," 8,425.0000 ", 0.7330 ," 26,621.0000 ", 0.0234 , 849.0000 , 0.0083 , 302.0000 , 0.0034 , 123.0000 ," 36,320.00 "
29,Camden, 0.2545 ," 1,274.0000 ", 0.7083 ," 3,546.0000 ", 0.0298 , 149.0000 , 0.0058 , 29.0000 , 0.0016 , 8.0000 ," 5,006.00 "
31,Carteret, 0.2631 ," 9,939.0000 ", 0.7032 ," 26,569.0000 ", 0.0242 , 913.0000 , 0.0074 , 278.0000 , 0.0022 , 82.0000 ," 37,781.00 "
33,Caswell, 0.4328 ," 4,792.0000 ", 0.5444 ," 6,027.0000 ", 0.0193 , 214.0000 , 0.0026 , 29.0000 , 0.0008 , 9.0000 ," 11,071.00 "
35,Catawba, 0.2932 ," 21,216.0000 ", 0.6679 ," 48,324.0000 ", 0.0273 ," 1,973.0000 ", 0.0095 , 685.0000 , 0.0021 , 153.0000 ," 72,351.00 "
37,Chatham, 0.5286 ," 21,065.0000 ", 0.4292 ," 17,105.0000 ", 0.0284 ," 1,130.0000 ", 0.0103 , 412.0000 , 0.0034 , 137.0000 ," 39,849.00 "
39,Cherokee, 0.2017 ," 2,860.0000 ", 0.7647 ," 10,844.0000 ", 0.0244 , 346.0000 , 0.0069 , 98.0000 , 0.0023 , 33.0000 ," 14,181.00 "
41,Chowan, 0.4139 ," 2,992.0000 ", 0.5553 ," 4,014.0000 ", 0.0224 , 162.0000 , 0.0068 , 49.0000 , 0.0015 , 11.0000 ," 7,228.00 "
43,Clay, 0.2275 ," 1,367.0000 ", 0.7383 ," 4,437.0000 ", 0.0238 , 143.0000 , 0.0090 , 54.0000 , 0.0015 , 9.0000 ," 6,010.00 "
45,Cleveland, 0.3350 ," 14,961.0000 ", 0.6375 ," 28,474.0000 ", 0.0190 , 850.0000 , 0.0068 , 305.0000 , 0.0017 , 75.0000 ," 44,665.00 "
47,Columbus, 0.3818 ," 9,053.0000 ", 0.6015 ," 14,264.0000 ", 0.0129 , 305.0000 , 0.0038 , 91.0000 , -   , -   ," 23,713.00 "
49,Craven, 0.3752 ," 17,629.0000 ", 0.5899 ," 27,722.0000 ", 0.0257 ," 1,210.0000 ", 0.0081 , 380.0000 , 0.0011 , 50.0000 ," 46,991.00 "
51,Cumberland, 0.5616 ," 71,605.0000 ", 0.4021 ," 51,265.0000 ", 0.0265 ," 3,373.0000 ", 0.0085 ," 1,084.0000 ", 0.0014 , 179.0000 ," 127,506.00 "
53,Currituck, 0.2299 ," 2,913.0000 ", 0.7233 ," 9,163.0000 ", 0.0380 , 482.0000 , 0.0066 , 84.0000 , 0.0021 , 27.0000 ," 12,669.00 "
55,Dare, 0.3681 ," 7,323.0000 ", 0.5843 ," 11,626.0000 ", 0.0347 , 690.0000 , 0.0103 , 205.0000 , 0.0026 , 52.0000 ," 19,896.00 "
57,Davidson, 0.2419 ," 18,102.0000 ", 0.7256 ," 54,304.0000 ", 0.0248 ," 1,858.0000 ", 0.0065 , 484.0000 , 0.0012 , 87.0000 ," 74,835.00 "
59,Davie, 0.2422 ," 5,270.0000 ", 0.7171 ," 15,602.0000 ", 0.0290 , 631.0000 , 0.0095 , 206.0000 , 0.0022 , 47.0000 ," 21,756.00 "
61,Duplin, 0.3972 ," 8,283.0000 ", 0.5858 ," 12,217.0000 ", 0.0125 , 260.0000 , 0.0041 , 85.0000 , 0.0005 , 11.0000 ," 20,845.00 "
63,Durham, 0.7767 ," 121,166.0000 ", 0.1815 ," 28,314.0000 ", 0.0256 ," 3,995.0000 ", 0.0128 ," 1,996.0000 ", 0.0034 , 535.0000 ," 156,006.00 "
65,Edgecombe, 0.6519 ," 16,224.0000 ", 0.3320 ," 8,261.0000 ", 0.0114 , 284.0000 , 0.0043 , 106.0000 , 0.0004 , 11.0000 ," 24,886.00 "
67,Forsyth, 0.5298 ," 94,185.0000 ", 0.4261 ," 75,751.0000 ", 0.0301 ," 5,358.0000 ", 0.0140 ," 2,492.0000 ", -   , -   ," 177,786.00 "
69,Franklin, 0.4239 ," 12,874.0000 ", 0.5390 ," 16,368.0000 ", 0.0256 , 777.0000 , 0.0097 , 296.0000 , 0.0017 , 53.0000 ," 30,368.00 "
71,Gaston, 0.3233 ," 31,177.0000 ", 0.6409 ," 61,798.0000 ", 0.0254 ," 2,445.0000 ", 0.0091 , 873.0000 , 0.0014 , 138.0000 ," 96,431.00 "
