"","state","county","cz","czname","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","frac_coll_plus2010","foreign_share2010","med_hhinc1990","med_hhinc2016","poor_share2010","poor_share2000","poor_share1990","share_white2010","share_black2010","share_hisp2010","share_asian2010","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","singleparent_share1990","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","popdensity2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","county_name","district","split","X","County.18.","Clinton.percentage","Clinton.Votes","Trump.percentage","Trump.Votes","Johnson.percentage","Johnson.Votes","Write.in.percentage","Write.in.Votes","Stein.percentage","Stein.Votes","Totals","Republican.percentage"
"1",37,1,500,"Greensboro",71037.531,22.983232,0.1955063,0.21068329,0.073734902,28763.7641864745,45265.7372015007,0.16339003,0.11034597,0.085328683,0.67304522,0.19456631,0.11009654,0.0088089863,0.18523018,0.73365331,0.063799463,0.0064457539,3.4556916,735.78265,0.35839897,0.20091693,0.29492876,0.34357974,0.63171732,81.243233,-0.11748834,356.48813,308.54034,0.010991117,168.97514,"Alamance",13,"",1,"Alamance",0.4192," 29,818.0000 ",0.5455," 38,802.0000 ",0.0252," 1,795.0000 ",0.007," 496.0000 "," 0.0030 "," 216.0000 "," 71,127.00 ",0.524533580394935
"2",37,3,1100,"Hickory",67076.891,24.013674,0.093927428,0.11691985,0.032813493,26904.704167626,42918.0756761116,0.15032911,0.084916532,0.098068528,0.87829995,0.060755953,0.043039948,0.0021362153,0.047325242,0.91019166,0.025050029,0.0019165172,4.32691,542.65839,0.20107952,0.15569893,0.23405334,0.28708279,0.69410682,84.457672,-0.0041326028,143.07198,129.45616,-0.0086690476,62.001194,"Alexander",5,"",3,"Alexander",0.2064," 3,756.0000 ",0.7601," 13,833.0000 ",0.0239," 435.0000 ",0.0083," 151.0000 "," 0.0013 "," 23.0000 "," 18,198.00 ",0.350059294396679
"3",37,5,602,"Galax",57875.172,24.236145,0.11659954,0.16309585,0.077082284,18481.5891246597,37658.1978484984,0.2590279,0.17068088,0.20297217,0.88408786,0.01398476,0.090004481,0.0021515016,0.012188982,0.93007201,0.049772516,0.0018929386,3.3222532,576.10693,0.41257954,0.16981509,0.20923139,0.34655994,0.57825613,87.665993,0.13861957,47.455967,45.444912,-0.013802763,17.144558,"Alleghany",5,"",5,"Alleghany",0.2457," 1,306.0000 ",0.7176," 3,814.0000 ",0.0243," 129.0000 ",0.0124," 66.0000 "," -   "," -   "," 5,315.00 ",0.49778978388998
"4",37,7,900,"Charlotte",57112.082,29.027809,0.091323413,0.084345713,0.015847094,22215.2158230667,36286.0221908861,0.20291267,0.17326871,0.16831905,0.45806739,0.49057445,0.030132106,0.0051951907,0.47147903,0.50552922,0.0086521627,0.0021647038,2.614197,603.03619,0.43975943,0.24356346,0.38666427,0.3272616,0.51375663,82.401054,NA,50.706463,47.558475,-0.00063859281,18.601902,"Anson",9,"",7,"Anson",0.5556," 5,859.0000 ",0.4273," 4,506.0000 ",0.0122," 129.0000 ",0.0046," 48.0000 "," 0.0003 "," 3.0000 "," 10,545.00 ",0.804875321480488
"5",37,9,601,"North Wilkesboro",54683.73,27.700476,0.12293567,0.17239149,0.033580337,19229.6587586293,37729.1508742348,0.17570294,0.13305931,0.18255031,0.93178403,0.0081008757,0.048055425,0.0031523772,0.0072729457,0.96131647,0.024143973,0.0018984,3.4177575,562.39636,0.27859983,0.15318279,0.22259627,0.22695968,0.56592351,87.280258,-0.035037946,64.019768,57.221439,-0.0042386255,27.399832,"Ashe",5,"",9,"Ashe",0.2607," 3,500.0000 ",0.7012," 9,413.0000 ",0.0247," 332.0000 ",0.0134," 180.0000 "," -   "," -   "," 13,425.00 ",0.391868512110727
"6",37,11,1001,"Boone",56116.719,23.90431,0.14544407,0.19449817,0.035663877,20687.8852437717,36577.7221441816,0.17576812,0.15046208,0.14326657,0.90065742,0.040737204,0.044782829,0.0021913806,0.038654909,0.92588496,0.024463391,0.0016574222,3.1547511,627.39722,0.30361429,0.16174769,0.2165554,0.35295907,0.50688273,82.925209,NA,72.02726,69.477554,-0.0099757286,28.330103,"Avery",11,"",11,"Avery",0.2048," 1,689.0000 ",0.7635," 6,298.0000 ",0.0201," 166.0000 ",0.0088," 73.0000 "," 0.0028 "," 23.0000 "," 8,249.00 ",0.159955435301608
"7",37,13,2100,"Washington",59870.75,26.019407,0.15930271,0.18680625,0.044240851,22035.0077411684,42082.6856299336,0.17101543,0.19103333,0.18912448,0.66385394,0.2599929,0.066291168,0.0032245233,0.28438026,0.67625982,0.032197196,0.0022961777,3.4695513,548.76294,0.32409686,0.22388679,0.31875452,0.3393316,0.53620327,83.915756,NA,57.736294,54.350136,-0.00064010319,22.381744,"Beaufort",3,"",13,"Beaufort",0.3661," 8,764.0000 ",0.6075," 14,543.0000 ",0.0178," 426.0000 ",0.0075," 180.0000 "," 0.0010 "," 25.0000 "," 23,936.00 ",0.53240463623007
"8",37,15,2600,"Roanoke Rapids",51289.465,28.104404,0.08944802,0.10024429,0.0077036214,18009.0822503857,31064.8955925195,0.23140524,0.23630834,0.25494593,0.34738278,0.62931114,0.012545813,0.0044168779,0.62172085,0.36214033,0.0096324766,0.0015932098,2.3100266,546.95648,0.51296842,0.32982007,0.39874712,0.3248114,0.49295756,81.754036,-0.026875157,30.434639,28.276672,-0.0015362116,10.879933,"Bertie",1,"",15,"Bertie",0.6182," 5,778.0000 ",0.3697," 3,456.0000 ",0.0075," 70.0000 ",0.0043," 40.0000 "," 0.0003 "," 3.0000 "," 9,347.00 ",0.864491362763916
"9",37,17,1500,"Wilmington",53315.828,27.716677,0.11353713,0.098245926,0.043155845,18968.0360613811,30801.2724069338,0.24267381,0.20629959,0.21605758,0.54680306,0.35416311,0.071099743,0.0017902813,0.37132427,0.56753659,0.038172022,0.00081896194,2.5719049,600.56238,0.45015365,0.26095793,0.34514588,0.25968248,0.52397108,78.584686,0.049350005,40.248055,36.917496,-0.014974969,14.516292,"Bladen",7,"",17,"Bladen",0.4438," 7,021.0000 ",0.538," 8,511.0000 ",0.0133," 211.0000 ",0.0048," 76.0000 "," -   "," -   "," 15,819.00 ",0.783066173448418
"10",37,19,1500,"Wilmington",66964.367,25.324663,0.15586844,0.22937125,0.039133962,23586.3324438702,48996.3295976022,0.13752075,0.1264707,0.15534347,0.808128,0.12045871,0.051651757,0.0047064465,0.1525487,0.80433655,0.027227757,0.0025335203,3.6779475,795.29132,0.32395956,0.21420625,0.30955011,0.30626673,0.55076158,85.881432,0.061424173,126.84082,86.359001,0.013390431,50.794888,"Brunswick",7,"",19,"Brunswick",0.3406," 23,282.0000 ",0.625," 42,717.0000 ",0.0251," 1,717.0000 ",0.0078," 536.0000 "," 0.0014 "," 96.0000 "," 68,348.00 ",0.401008052123671
