state_fips,state_name,state_abbr,cohort,count,par_q1,par_q2,par_q3,par_q4,par_q5
-999,Missing,XX,1980,23237,.27710119,.1599604,.17080519,.15901364,.23311959
-999,Missing,XX,1981,20305,.3207092,.15616843,.16779119,.13710909,.21822211
-999,Missing,XX,1982,20578,.38108659,.14671008,.1585674,.12838954,.18524638
-999,Missing,XX,1983,24604,.52121603,.11559096,.12359779,.094943911,.14465128
-999,Missing,XX,1984,31753,.61990994,.095329575,.10175417,.075772367,.10723396
-999,Missing,XX,1985,38821,.6925633,.076968648,.085082814,.0615131,.083872132
-999,Missing,XX,1986,41717,.72193593,.068029821,.081813172,.057866096,.070355013
-999,Missing,XX,1987,45972,.74427915,.063625686,.075785257,.052705996,.06360393
-999,Missing,XX,1988,52160,.7600652,.062231597,.071108125,.050517637,.056077454
-999,Missing,XX,1989,59591,.770217,.064791664,.066184491,.047238678,.051568191
-999,Missing,XX,1990,61258,.73477751,.08743348,.070962161,.052123804,.054703061
-999,Missing,XX,1991,61687,.71682853,.098335147,.07447274,.052458379,.057905231
1,Alabama,AL,1980,61582,.29274788,.22332825,.18175766,.16352181,.13864441
1,Alabama,AL,1981,60921,.29321581,.22099112,.18351635,.16270252,.1395742
1,Alabama,AL,1982,60662,.29395667,.22523162,.18077214,.16568857,.134351
1,Alabama,AL,1983,60152,.29149488,.2288702,.18019351,.16230549,.13713592
1,Alabama,AL,1984,61931,.28168446,.23456751,.18380132,.16416657,.13578014
1,Alabama,AL,1985,62607,.27674222,.23144376,.18624115,.16485377,.14071909
1,Alabama,AL,1986,62507,.27635306,.23197402,.1830035,.16801319,.14065625
1,Alabama,AL,1987,62734,.26714382,.23543851,.18364842,.16906303,.14470622
1,Alabama,AL,1988,64982,.2621803,.23725031,.18342002,.17298636,.144163
1,Alabama,AL,1989,67796,.25612131,.23957166,.18737094,.17082129,.14611481
1,Alabama,AL,1990,69346,.2592507,.23818244,.1849566,.17137253,.1462377
1,Alabama,AL,1991,68947,.2528609,.24206999,.18667962,.17295894,.14543055
2,Alaska,AK,1980,8716,.10073428,.14639743,.19745296,.25091785,.30449748
2,Alaska,AK,1981,8932,.10714286,.14834304,.19905956,.25111958,.29433498
2,Alaska,AK,1982,9566,.10830023,.1560736,.19809742,.24911144,.28841731
2,Alaska,AK,1983,9631,.11307237,.15481259,.20797426,.24670336,.27743745
2,Alaska,AK,1984,10274,.11971968,.15583025,.19875413,.24819934,.27749661
2,Alaska,AK,1985,10597,.11408889,.15551572,.20873833,.25327924,.26837784
2,Alaska,AK,1986,10265,.11982465,.15927911,.21509986,.254944,.25085241
2,Alaska,AK,1987,10279,.1131433,.15390602,.21042903,.26490903,.25761262
2,Alaska,AK,1988,10548,.11860068,.15339401,.20875995,.26137656,.2578688
2,Alaska,AK,1989,10922,.11756089,.14841604,.21214063,.26048341,.261399
2,Alaska,AK,1990,11310,.11900973,.14022988,.20839965,.26295313,.2694076
2,Alaska,AK,1991,10961,.11768999,.13630143,.20892255,.25937414,.2777119
4,Arizona,AZ,1980,58560,.21419057,.22032104,.19871926,.19014686,.17662227
4,Arizona,AZ,1981,61172,.21333289,.22170274,.2003531,.18436539,.18024586
4,Arizona,AZ,1982,62953,.20890188,.22286467,.20321509,.18426445,.1807539
4,Arizona,AZ,1983,63517,.20659035,.22288521,.20282759,.18829605,.17940079
4,Arizona,AZ,1984,69380,.20909484,.22610262,.20233497,.18336697,.1791006
4,Arizona,AZ,1985,73204,.20866346,.22231026,.20500246,.18776296,.17626086
4,Arizona,AZ,1986,74006,.20259169,.22542767,.20622653,.18694431,.17880982
4,Arizona,AZ,1987,77197,.20364781,.228027,.20774123,.18416519,.17641877
4,Arizona,AZ,1988,83153,.20192897,.22810963,.20797807,.18542928,.17655407
4,Arizona,AZ,1989,87290,.20332226,.23196243,.20924504,.18483217,.1706381
4,Arizona,AZ,1990,92310,.21115805,.23343083,.20890477,.18069549,.16581085
