"","race_code","gender_code","ethnic_code","age_group","county_desc","election_lbl","n","n_registered","percent_voted"
"1","U","F","UN","45-64","PERQUIMANS","11/06/2018",1,1,1
"2","U","F","UN","45-64","PERQUIMANS","11/08/2016",1,1,1
"3","U","M","NL","45-64","HOKE","11/06/2018",1,1,1
"4","U","M","NL","45-64","HOKE","11/08/2016",1,1,1
"5","A","F","HL","18-24","CURRITUCK","11/08/2016",1,1,1
"6","A","F","HL","18-24","DURHAM","11/06/2018",2,9,0.222222222222222
"7","A","F","HL","18-24","DURHAM","11/08/2016",6,12,0.5
"8","A","F","HL","18-24","FORSYTH","11/08/2016",2,8,0.25
"9","A","F","HL","18-24","FRANKLIN","11/06/2018",1,5,0.2
"10","A","F","HL","18-24","FRANKLIN","11/08/2016",1,6,0.166666666666667
"11","A","F","HL","18-24","GASTON","11/06/2018",1,1,1
"12","A","F","HL","18-24","GASTON","11/08/2016",1,1,1
"13","A","F","HL","18-24","GUILFORD","11/06/2018",2,7,0.285714285714286
"14","A","F","HL","18-24","GUILFORD","11/08/2016",2,9,0.222222222222222
"15","A","F","HL","18-24","JOHNSTON","11/06/2018",1,6,0.166666666666667
"16","A","F","HL","18-24","JOHNSTON","11/08/2016",4,8,0.5
"17","A","F","HL","18-24","LEE","11/06/2018",1,2,0.5
"18","A","F","HL","18-24","MECKLENBURG","11/06/2018",8,28,0.285714285714286
"19","A","F","HL","18-24","MECKLENBURG","11/08/2016",13,36,0.361111111111111
"20","A","F","HL","18-24","NEW HANOVER","11/08/2016",1,1,1
"21","A","F","HL","18-24","ORANGE","11/06/2018",2,4,0.5
"22","A","F","HL","18-24","ORANGE","11/08/2016",2,5,0.4
"23","A","F","HL","18-24","UNION","11/08/2016",1,4,0.25
"24","A","F","HL","18-24","WAKE","11/06/2018",13,46,0.282608695652174
"25","A","F","HL","18-24","WAKE","11/08/2016",15,54,0.277777777777778
"26","A","F","HL","18-24","WATAUGA","11/06/2018",1,1,1
"27","A","F","HL","18-24","WAYNE","11/08/2016",1,2,0.5
"28","A","F","HL","25-44","CABARRUS","11/06/2018",1,1,1
"29","A","F","HL","25-44","CABARRUS","11/08/2016",1,1,1
"30","A","F","HL","25-44","CALDWELL","11/06/2018",1,1,1
"31","A","F","HL","25-44","CALDWELL","11/08/2016",1,1,1
"32","A","F","HL","25-44","CHATHAM","11/08/2016",1,1,1
"33","A","F","HL","25-44","CRAVEN","11/08/2016",1,2,0.5
"34","A","F","HL","25-44","CUMBERLAND","11/06/2018",3,18,0.166666666666667
"35","A","F","HL","25-44","CUMBERLAND","11/08/2016",5,16,0.3125
"36","A","F","HL","25-44","CURRITUCK","11/08/2016",1,1,1
"37","A","F","HL","25-44","DUPLIN","11/06/2018",1,1,1
"38","A","F","HL","25-44","DUPLIN","11/08/2016",1,1,1
"39","A","F","HL","25-44","DURHAM","11/06/2018",3,17,0.176470588235294
"40","A","F","HL","25-44","DURHAM","11/08/2016",8,14,0.571428571428571
"41","A","F","HL","25-44","FORSYTH","11/06/2018",1,6,0.166666666666667
"42","A","F","HL","25-44","FORSYTH","11/08/2016",2,4,0.5
"43","A","F","HL","25-44","FRANKLIN","11/06/2018",1,1,1
"44","A","F","HL","25-44","GUILFORD","11/06/2018",2,7,0.285714285714286
"45","A","F","HL","25-44","GUILFORD","11/08/2016",4,7,0.571428571428571
"46","A","F","HL","25-44","IREDELL","11/06/2018",1,4,0.25
"47","A","F","HL","25-44","JOHNSTON","11/06/2018",3,13,0.230769230769231
"48","A","F","HL","25-44","JOHNSTON","11/08/2016",5,11,0.454545454545455
"49","A","F","HL","25-44","LEE","11/06/2018",1,3,0.333333333333333
"50","A","F","HL","25-44","MECKLENBURG","11/06/2018",17,33,0.515151515151515
"51","A","F","HL","25-44","MECKLENBURG","11/08/2016",10,28,0.357142857142857
"52","A","F","HL","25-44","MOORE","11/06/2018",1,1,1
"53","A","F","HL","25-44","NEW HANOVER","11/06/2018",3,8,0.375
"54","A","F","HL","25-44","NEW HANOVER","11/08/2016",2,7,0.285714285714286
"55","A","F","HL","25-44","ORANGE","11/06/2018",1,6,0.166666666666667
"56","A","F","HL","25-44","ORANGE","11/08/2016",1,5,0.2
"57","A","F","HL","25-44","PASQUOTANK","11/06/2018",1,1,1
