"","race_code","sex_code","ethnic_code","age_group","party_cd","gender_code","congressional_dist","presidential","n","n_registered"
"1","A","F","HL","18-24","DEM","F",2,0,2,22
"2","A","F","HL","18-24","DEM","F",4,0,3,26
"3","A","F","HL","18-24","DEM","F",7,0,1,2
"4","A","F","HL","18-24","DEM","F",9,0,1,13
"5","A","F","HL","18-24","DEM","F",12,0,1,13
"6","A","F","HL","18-24","LIB","F",5,0,1,2
"7","A","F","HL","18-24","REP","F",2,0,0,2
"8","A","F","HL","18-24","REP","F",3,1,1,2
"9","A","F","HL","18-24","REP","F",4,0,0,2
"10","A","F","HL","18-24","REP","F",8,0,0,1
"11","A","F","HL","18-24","REP","F",13,0,0,1
"12","A","F","HL","18-24","UNA","F",2,0,4,24
"13","A","F","HL","18-24","UNA","F",4,0,5,36
"14","A","F","HL","18-24","UNA","F",9,0,2,10
"15","A","F","HL","18-24","UNA","F",12,0,2,10
"16","A","F","HL","25-44","DEM","F",2,0,1,26
"17","A","F","HL","25-44","DEM","F",4,0,4,52
"18","A","F","HL","25-44","DEM","F",4,1,0,2
"19","A","F","HL","25-44","DEM","F",5,0,1,2
"20","A","F","HL","25-44","DEM","F",5,1,1,4
"21","A","F","HL","25-44","DEM","F",6,0,0,4
"22","A","F","HL","25-44","DEM","F",7,0,5,22
"23","A","F","HL","25-44","DEM","F",8,0,1,2
"24","A","F","HL","25-44","DEM","F",8,1,1,2
"25","A","F","HL","25-44","DEM","F",9,0,7,24
"26","A","F","HL","25-44","DEM","F",10,0,0,6
"27","A","F","HL","25-44","DEM","F",10,1,0,2
"28","A","F","HL","25-44","DEM","F",12,0,6,20
"29","A","F","HL","25-44","DEM","F",13,0,0,2
"30","A","F","HL","25-44","DEM","F",13,1,0,2
"31","A","F","HL","25-44","REP","F",2,0,2,5
"32","A","F","HL","25-44","REP","F",3,1,1,2
"33","A","F","HL","25-44","REP","F",4,0,2,5
"34","A","F","HL","25-44","REP","F",7,0,1,6
"35","A","F","HL","25-44","REP","F",8,0,2,16
"36","A","F","HL","25-44","REP","F",8,1,2,12
"37","A","F","HL","25-44","REP","F",9,0,0,2
"38","A","F","HL","25-44","UNA","F",1,0,1,2
"39","A","F","HL","25-44","UNA","F",2,0,6,28
"40","A","F","HL","25-44","UNA","F",3,1,1,4
"41","A","F","HL","25-44","UNA","F",4,0,6,28
"42","A","F","HL","25-44","UNA","F",8,0,1,20
"43","A","F","HL","25-44","UNA","F",8,1,3,22
"44","A","F","HL","25-44","UNA","F",9,0,2,13
"45","A","F","HL","25-44","UNA","F",12,0,2,13
"46","A","F","HL","45-64","DEM","F",1,0,2,8
"47","A","F","HL","45-64","DEM","F",2,0,4,18
"48","A","F","HL","45-64","DEM","F",3,0,1,4
"49","A","F","HL","45-64","DEM","F",4,0,4,18
"50","A","F","HL","45-64","DEM","F",7,0,1,2
"51","A","F","HL","45-64","DEM","F",8,0,4,12
"52","A","F","HL","45-64","DEM","F",8,1,4,12
"53","A","F","HL","45-64","DEM","F",9,0,2,7
"54","A","F","HL","45-64","DEM","F",10,0,1,3
"55","A","F","HL","45-64","DEM","F",12,0,1,5
"56","A","F","HL","45-64","DEM","F",13,0,1,7
"57","A","F","HL","45-64","DEM","F",13,1,1,2
"58","A","F","HL","45-64","REP","F",2,0,1,5
"59","A","F","HL","45-64","REP","F",4,0,1,5
"60","A","F","HL","45-64","REP","F",7,0,4,8
"61","A","F","HL","45-64","REP","F",7,1,1,2
"62","A","F","HL","45-64","REP","F",8,0,2,5
"63","A","F","HL","45-64","REP","F",8,1,2,4
"64","A","F","HL","45-64","REP","F",9,0,0,1
"65","A","F","HL","45-64","REP","F",10,0,1,2
"66","A","F","HL","45-64","REP","F",11,0,1,2
"67","A","F","HL","45-64","REP","F",11,1,1,2
"68","A","F","HL","45-64","UNA","F",1,0,1,2
"69","A","F","HL","45-64","UNA","F",2,0,2,10
"70","A","F","HL","45-64","UNA","F",3,0,1,4
"71","A","F","HL","45-64","UNA","F",3,1,1,2
"72","A","F","HL","45-64","UNA","F",4,0,6,22
"73","A","F","HL","45-64","UNA","F",5,0,1,2
"74","A","F","HL","45-64","UNA","F",5,1,1,3
"75","A","F","HL","45-64","UNA","F",7,0,1,4
"76","A","F","HL","45-64","UNA","F",8,0,3,10
"77","A","F","HL","45-64","UNA","F",8,1,3,6
"78","A","F","HL","45-64","UNA","F",9,0,2,7
"79","A","F","HL","45-64","UNA","F",10,0,2,4
"80","A","F","HL","45-64","UNA","F",10,1,0,1
"81","A","F","HL","45-64","UNA","F",11,0,1,2
"82","A","F","HL","45-64","UNA","F",11,1,1,2
"83","A","F","HL","45-64","UNA","F",12,0,2,7
"84","A","F","HL","45-64","UNA","F",13,0,1,2
"85","A","F","HL","45-64","UNA","F",13,1,1,2
"86","A","F","HL","65+","DEM","F",2,0,1,9
"87","A","F","HL","65+","DEM","F",4,0,2,11
"88","A","F","HL","65+","DEM","F",8,0,1,2
"89","A","F","HL","65+","DEM","F",9,0,2,5
"90","A","F","HL","65+","DEM","F",12,0,2,5
"91","A","F","HL","65+","REP","F",2,0,0,6
"92","A","F","HL","65+","REP","F",3,0,1,2
"93","A","F","HL","65+","REP","F",4,0,0,6
"94","A","F","HL","65+","REP","F",8,1,1,2
"95","A","F","HL","65+","UNA","F",2,0,2,10
"96","A","F","HL","65+","UNA","F",3,0,1,2
"97","A","F","HL","65+","UNA","F",4,0,2,10
"98","A","F","HL","65+","UNA","F",8,0,1,2
"99","A","F","HL","65+","UNA","F",8,1,2,4
"100","A","F","HL","65+","UNA","F",9,0,0,3
"101","A","F","HL","65+","UNA","F",12,0,0,3
"102","A","F","HL","65+","UNA","F",13,0,1,2
"103","A","F","HL","65+","UNA","F",13,1,1,2
"104","A","F","NL","18-24","DEM","F",1,0,11,89
"105","A","F","NL","18-24","DEM","F",2,0,118,551
"106","A","F","NL","18-24","DEM","F",3,0,9,121
"107","A","F","NL","18-24","DEM","F",3,1,7,44
"108","A","F","NL","18-24","DEM","F",4,0,424,2201
"109","A","F","NL","18-24","DEM","F",4,1,4,12
"110","A","F","NL","18-24","DEM","F",5,0,25,227
"111","A","F","NL","18-24","DEM","F",5,1,23,134
"112","A","F","NL","18-24","DEM","F",6,0,12,75
"113","A","F","NL","18-24","DEM","F",7,0,11,118
"114","A","F","NL","18-24","DEM","F",8,0,22,160
"115","A","F","NL","18-24","DEM","F",8,1,22,112
"116","A","F","NL","18-24","DEM","F",9,0,80,506
"117","A","F","NL","18-24","DEM","F",10,0,19,157
"118","A","F","NL","18-24","DEM","F",10,1,11,54
"119","A","F","NL","18-24","DEM","F",11,0,27,124
"120","A","F","NL","18-24","DEM","F",11,1,22,78
"121","A","F","NL","18-24","DEM","F",12,0,68,420
"122","A","F","NL","18-24","DEM","F",13,0,19,145
"123","A","F","NL","18-24","DEM","F",13,1,20,94
"124","A","F","NL","18-24","GRE","F",9,0,0,1
"125","A","F","NL","18-24","GRE","F",12,0,0,1
"126","A","F","NL","18-24","LIB","F",2,0,0,11
"127","A","F","NL","18-24","LIB","F",4,0,1,27
"128","A","F","NL","18-24","LIB","F",6,0,0,4
"129","A","F","NL","18-24","LIB","F",8,1,1,4
"130","A","F","NL","18-24","LIB","F",10,0,0,4
"131","A","F","NL","18-24","LIB","F",13,1,1,2
"132","A","F","NL","18-24","REP","F",1,0,1,23
"133","A","F","NL","18-24","REP","F",2,0,17,104
"134","A","F","NL","18-24","REP","F",3,0,10,107
"135","A","F","NL","18-24","REP","F",3,1,7,46
"136","A","F","NL","18-24","REP","F",4,0,32,220
"137","A","F","NL","18-24","REP","F",5,0,9,47
"138","A","F","NL","18-24","REP","F",5,1,6,40
"139","A","F","NL","18-24","REP","F",6,0,2,18
