"","race_code","sex_code","ethnic_code","age_group","county_desc","election_lbl","voted_party_cd","n","party_cd","n_registered","gender_code"
"1","A","F","HL","18-24","CURRITUCK","11/08/2016","REP",1,"REP",2,"F"
"2","A","F","HL","25-44","CABARRUS","11/08/2016","DEM",1,"DEM",2,"F"
"3","A","F","HL","25-44","CALDWELL","11/08/2016","DEM",1,"DEM",2,"F"
"4","A","F","HL","25-44","CATAWBA","11/08/2016","DEM",1,"DEM",4,"F"
"5","A","F","HL","25-44","CHATHAM","11/08/2016","DEM",1,"DEM",4,"F"
"6","A","F","HL","25-44","CRAVEN","11/08/2016","UNA",1,"UNA",4,"F"
"7","A","F","HL","25-44","CUMBERLAND","11/08/2016","REP",2,"REP",12,"F"
"8","A","F","HL","25-44","CUMBERLAND","11/08/2016","UNA",3,"UNA",22,"F"
"9","A","F","HL","25-44","CURRITUCK","11/08/2016","REP",1,"REP",2,"F"
"10","A","F","HL","45-64","ALAMANCE","11/08/2016","UNA",1,"UNA",2,"F"
"11","A","F","HL","45-64","BRUNSWICK","11/08/2016","REP",1,"REP",2,"F"
"12","A","F","HL","45-64","BUNCOMBE","11/08/2016","REP",1,"REP",2,"F"
"13","A","F","HL","45-64","BUNCOMBE","11/08/2016","UNA",1,"UNA",2,"F"
"14","A","F","HL","45-64","CABARRUS","11/08/2016","DEM",3,"DEM",8,"F"
"15","A","F","HL","45-64","CATAWBA","11/08/2016","UNA",1,"UNA",2,"F"
"16","A","F","HL","45-64","CLEVELAND","11/08/2016","UNA",1,"UNA",2,"F"
"17","A","F","HL","45-64","CRAVEN","11/08/2016","UNA",1,"UNA",2,"F"
"18","A","F","HL","45-64","CUMBERLAND","11/08/2016","DEM",1,"DEM",4,"F"
"19","A","F","HL","45-64","CUMBERLAND","11/08/2016","REP",2,"REP",4,"F"
"20","A","F","HL","45-64","CUMBERLAND","11/08/2016","UNA",3,"UNA",6,"F"
"21","A","F","HL","45-64","DAVIDSON","11/08/2016","DEM",1,"DEM",2,"F"
"22","A","F","HL","65+","ALAMANCE","11/08/2016","UNA",1,"UNA",2,"F"
"23","A","F","HL","65+","CUMBERLAND","11/08/2016","REP",1,"REP",2,"F"
