fips,county,region,cog,msa,hisp,race,sex,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,tot2019,tot2020,tot2021,tot2022,tot2023,tot2024,tot2025,tot2026,tot2027,tot2028,tot2029,tot2030,tot2031,tot2032,tot2033,tot2034,tot2035,tot2036,tot2037,tot2038,tot2039
37001,Alamance,Central North Carolina,Piedmont Triad Council of Governments,Burlington,Total,Total,Total,151440,151961,152545,153274,155070,156554,159836,163045,166638,170483,174055,176838,178595,180353,182108,183868,185626,187382,189141,190899,192656,194414,196170,197931,199687,201442,203201,204960,206717,208474
37003,Alexander,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,Total,Total,Total,37235,37158,37323,37414,37597,37550,37908,38070,38303,38530,38755,38984,39209,39434,39661,39890,40115,40343,40571,40795,41021,41248,41475,41699,41928,42155,42381,42608,42835,43062
37005,Alleghany,Western North Carolina,High Country Council of Governments,Non-Metropolitan,Total,Total,Total,11139,11068,10993,11065,11180,11237,11297,11378,11422,11466,11510,11555,11598,11644,11687,11729,11773,11816,11862,11906,11948,11993,12038,12081,12124,12170,12214,12259,12302,12346
37007,Anson,Central North Carolina,Centralina Council of Governments,Non-Metropolitan,Total,Total,Total,26852,26699,26597,26288,26304,26035,25644,25490,25288,25290,25289,25288,25289,25289,25287,25286,25288,25287,25288,25288,25288,25289,25287,25288,25288,25287,25287,25288,25288,25288
37009,Ashe,Western North Carolina,High Country Council of Governments,Non-Metropolitan,Total,Total,Total,27228,27107,27170,27149,27203,26989,27072,27297,27606,27861,28150,28417,28700,28970,29251,29525,29803,30079,30355,30628,30906,31182,31459,31735,32012,32285,32564,32839,33115,33392
37011,Avery,Western North Carolina,High Country Council of Governments,Non-Metropolitan,Total,Total,Total,17765,17910,17810,17844,17871,17764,17857,17970,18057,18022,18035,18027,18030,18030,18032,18030,18032,18032,18030,18031,18031,18031,18032,18030,18032,18031,18029,18029,18032,18031
37013,Beaufort,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,Total,Total,Total,47807,47864,47790,47667,47585,47612,47473,47458,47475,47480,47490,47497,47505,47515,47524,47533,47539,47548,47558,47565,47575,47582,47591,47599,47608,47618,47626,47633,47641,47650
37015,Bertie,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,Total,Total,Total,21245,20937,20574,20463,20454,20409,19798,19780,19709,19636,19601,19602,19601,19599,19603,19600,19601,19602,19600,19601,19601,19602,19602,19600,19602,19600,19601,19601,19600,19600
37017,Bladen,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,Total,Total,Total,35192,35026,35103,35043,35040,34898,34664,34522,34566,34497,34444,34390,34339,34284,34233,34178,34124,34071,34019,33965,33912,33860,33806,33751,33700,33647,33594,33543,33488,33436
37019,Brunswick,Eastern North Carolina,Cape Fear Council of Governments,Myrtle Beach-Conway-North Myrtle Beach (NC),Total,Total,Total,108065,110148,112409,115284,119050,122957,127152,131644,137103,142088,146135,149508,152881,156252,159625,162995,166368,169740,173112,176485,179854,183227,186599,189971,193343,196715,200088,203458,206830,210202
37021,Buncombe,Western North Carolina,Land-of-Sky Regional Council,Asheville,Total,Total,Total,238737,241798,244725,247951,250552,253775,257259,259082,261065,264056,267046,270040,273031,276022,279015,282004,284996,287985,290979,293967,296961,299951,302941,305932,308923,311914,314906,317898,320889,323879
37023,Burke,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,Total,Total,Total,90575,90203,89619,89151,89151,89321,90123,91077,91402,91810,91934,92268,92600,92933,93266,93599,93930,94265,94598,94930,95263,95595,95928,96261,96593,96926,97259,97592,97925,98257
37025,Cabarrus,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),Total,Total,Total,178535,180684,183253,186067,190218,194982,200230,204865,209150,212917,216608,220437,224627,229130,233796,238400,242797,246954,250959,254957,259075,263360,267774,272230,276622,280906,285083,289216,293370,297591
37027,Caldwell,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,Total,Total,Total,83021,82937,82695,82605,82598,82765,83143,83227,83291,83417,83703,84099,84573,85054,85508,85915,86286,86633,86982,87339,87711,88093,88486,88874,89261,89642,90021,90396,90772,91152
37029,Camden,Eastern North Carolina,Albermarle Commission,Non-Metropolitan,Total,Total,Total,10009,10035,9966,10075,10210,10214,10290,10352,10490,10611,10717,10808,10890,10962,11024,11079,11126,11168,11205,11237,11266,11292,11311,11331,11346,11362,11375,11386,11397,11403
37031,Carteret,Eastern North Carolina,Eastern Carolina Council of Governments,Non-Metropolitan,Total,Total,Total,66698,67681,68434,69235,69497,69742,69871,70247,70696,71163,71640,72121,72609,73100,73589,74078,74571,75062,75552,76044,76536,77028,77518,78011,78503,78994,79485,79976,80469,80960
37033,Caswell,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,Total,Total,Total,23753,23723,23487,23688,23482,23491,23527,23480,23679,23664,23666,23666,23666,23666,23665,23664,23664,23667,23667,23668,23665,23667,23667,23668,23667,23666,23666,23666,23667,23667
37035,Catawba,Western North Carolina,Western Piedmont Council of Governments,Hickory-Lenoir-Morganton,Total,Total,Total,154766,155038,155692,155582,155977,156197,156774,157424,158483,159494,160504,161516,162526,163539,164550,165562,166571,167580,168593,169603,170616,171626,172636,173648,174660,175671,176680,177692,178702,179716
37037,Chatham,Central North Carolina,Triangle J Council of Governments,Durham-Chapel Hill,Total,Total,Total,63840,64396,65152,66117,67373,69228,70746,72570,74264,75994,77713,79436,81156,82877,84596,86317,88037,89759,91481,93198,94920,96640,98362,100080,101804,103523,105243,106964,108685,110406
37039,Cherokee,Western North Carolina,Southwestern Commission,Non-Metropolitan,Total,Total,Total,27431,27468,27414,27443,27517,27729,28544,28879,29275,29630,29972,30297,30609,30909,31195,31470,31734,31986,32228,32460,32681,32893,33098,33293,33480,33659,33831,33995,34153,34304
37041,Chowan,Eastern North Carolina,Albermarle Commission,Non-Metropolitan,Total,Total,Total,14737,14822,14689,14770,14572,14431,14278,14204,14173,14114,14074,14021,13977,13927,13881,13833,13785,13737,13689,13640,13592,13545,13497,13450,13403,13354,13308,13258,13210,13164
37043,Clay,Western North Carolina,Southwestern Commission,Non-Metropolitan,Total,Total,Total,10607,10699,10709,10831,10830,10969,11200,11457,11658,11860,12058,12249,12436,12617,12794,12968,13136,13303,13461,13617,13770,13918,14063,14203,14340,14474,14606,14735,14856,14978
37045,Cleveland,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,Total,Total,Total,97919,97706,97523,97246,97646,97755,98069,98393,99140,99776,100289,100703,101033,101300,101514,101688,101825,101938,102025,102099,102157,102203,102238,102268,102294,102313,102330,102342,102354,102361
37047,Columbus,Eastern North Carolina,Cape Fear Council of Governments,Non-Metropolitan,Total,Total,Total,57975,58019,57989,57726,57504,57188,56842,56699,56424,56290,56220,56220,56220,56220,56219,56220,56221,56221,56221,56222,56219,56219,56221,56219,56220,56219,56220,56220,56221,56218
37049,Craven,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,Total,Total,Total,104176,104523,105170,104213,104069,103111,103184,103426,103594,103779,103983,104154,104296,104414,104512,104595,104665,104721,104770,104811,104846,104873,104896,104915,104933,104945,104957,104967,104975,104982
